"gene","avexpr","lfc","padj","pvalue","Comparison","Significant","Regulation","Species"
"OAS2",11.0829898007348,3.66250721999661,1.19263305249604e-24,1.5488740941507e-27,"Early",TRUE,"Up","AGM"
"MX1",10.6362638815635,4.24742839032524,3.44872683046039e-24,8.95773202716984e-27,"Early",TRUE,"Up","AGM"
"CXCL10",10.4523825265923,4.31601990800651,3.49115093870587e-24,1.36018867741787e-26,"Early",TRUE,"Up","AGM"
"MX2",11.3449783557751,3.13512983299701,3.29295308857829e-23,1.71062498107963e-25,"Early",TRUE,"Up","AGM"
"OASL",9.69323372472367,2.90476332808884,3.12243669101588e-22,2.02755629286746e-24,"Early",TRUE,"Up","AGM"
"IFIT1",12.8192739358652,4.04412764601148,1.24563802390041e-21,9.70627031610707e-24,"Early",TRUE,"Up","AGM"
"DDX58",9.64629391916022,3.26389881836822,5.04046111633639e-21,4.58223737848763e-23,"Early",TRUE,"Up","AGM"
"IFI44",11.4150173117315,4.56332384832697,8.71575769588084e-21,9.05533267104503e-23,"Early",TRUE,"Up","AGM"
"OAS3",9.89626457519722,3.30618939475788,1.1644667049316e-20,1.36106497979019e-22,"Early",TRUE,"Up","AGM"
"IFIT3",12.1336429910673,4.11314434769561,1.95668689623386e-19,2.54115181329073e-21,"Early",TRUE,"Up","AGM"
"EIF2AK2",9.88434594788195,2.46114173567335,1.82291147975385e-18,2.60415925679122e-20,"Early",TRUE,"Up","AGM"
"IFIT2",11.1348303802837,4.09651935838001,4.22308163895164e-18,6.58142593083372e-20,"Early",TRUE,"Up","AGM"
"STAT2",10.4634967318773,2.65285174511264,7.49572572577812e-18,1.26551213552098e-19,"Early",TRUE,"Up","AGM"
"IFIH1",10.4728313420662,2.7914451175304,1.57506310422086e-17,2.86375109858337e-19,"Early",TRUE,"Up","AGM"
"TNFSF13B",10.597024089152,2.41688580102798,1.38341509363631e-16,2.69496446812268e-18,"Early",TRUE,"Up","AGM"
"STAT1",11.1173070314859,1.76998528903203,1.49469326250704e-16,3.10585612988477e-18,"Early",TRUE,"Up","AGM"
"GBP1",12.2833392561726,3.18957986527496,1.59417997396768e-15,3.51961812434423e-17,"Early",TRUE,"Up","AGM"
"IFI16",12.0705022027284,1.55917034760726,2.50775623183308e-15,5.8622872951942e-17,"Early",TRUE,"Up","AGM"
"ISG20",9.37771913279796,1.54722514003945,1.11946455211242e-11,2.7623151285891e-13,"Early",TRUE,"Up","AGM"
"OAS1",10.7279473649124,2.68816251381621,2.08853678846534e-11,5.42477087913075e-13,"Early",TRUE,"Up","AGM"
"PSMB8",11.1568151861301,0.930930618841318,2.0750572031665e-10,5.65924691772681e-12,"Early",FALSE,"None","AGM"
"FAS",10.0848429234528,1.3085598901925,4.04337098216902e-09,1.15524885204829e-10,"Early",TRUE,"Up","AGM"
"IFITM1",14.2406808950102,1.22249596750379,5.17153602657278e-09,1.54474452741784e-10,"Early",TRUE,"Up","AGM"
"CASP1",10.8379688494492,1.37319812308927,9.60069677803944e-09,3.1171093435193e-10,"Early",TRUE,"Up","AGM"
"PML",7.51241178125991,0.863457713550665,8.06305782325991e-09,2.51316087997711e-10,"Early",FALSE,"None","AGM"
"IL1RN",8.25984846388383,1.44569614306862,1.05775148000671e-08,3.57162837404862e-10,"Early",TRUE,"Up","AGM"
