NHP,Outcome,IgG,Dose,GEq,PFU
MCy-1,Fatal,25600,1000,17900000000,39000
MCy-3,Fatal,25600,1000,110000000000,850000
MCy-4,Fatal,0,1000,1440000000000,16300000
MCy-5,Fatal,12800,1000,20000000000,23800
MCy-6,Fatal,800,1000,141000000000,725000
MCy-7,Fatal,0,1000,355000000000,4250000
MCy-8,Fatal,800,1000,202000000000,1600000
MCy-10,Fatal,200,1000,206000000000,8750000
AGM-1,Fatal,0,1000,17700000000,148000
AGM-2,Fatal,0,1000,41100000000,775000
AGM-3,Fatal,0,1000,83300000000,950000
AGM-4,Fatal,12800,1000,462000000,375
AGM-5,Fatal,0,1000,380000000000,7250000
AGM-6,Fatal,0,1000,121000000000,390000
AGM-7,Fatal,0,1000,9700000000,20000
AGM-8,Fatal,0,1000,109000000000,3400000
AGM-9,Fatal,800,1000,88800000000,1100000
AGM-10,Fatal,200,1000,61300000000,2350000
AGM10-3,Fatal,100,10,6330000000,163000
AGM50-1,Fatal,0,50,1820000000000,21300000
AGM50-2,Fatal,400,50,29600000000,1700000
AGM50-3,Fatal,0,50,39400000000,1180000
AGM50-4,Fatal,1600,50,38500000000,1700000
AGM100-1,Fatal,100,100,46800000000,303000
AGM100-2,Fatal,0,100,108000000,475
AGM100-4,Fatal,100,100,9980000000,1830000
AGM250-2,Fatal,0,250,175000000000,2730000
AGM250-3,Fatal,0,250,43200000000,6250000
AGM500-1,Fatal,0,500,3570000000,2430000
AGM500-2,Fatal,0,500,132000000000,2080000
AGM500-3,Fatal,0,500,79500000000,700000
AGM500-4,Fatal,100,500,81600000000,875000
AGM10-6,Fatal,150,10,509000000000,2400000
AGM10-10,Fatal,3200,10,358000000000,1230000
MCy-2,Survived,12800,1000,4120000000,3580
MCy-9,Survived,3200,1000,2470000000,1330
AGM10-1,Survived,300,10,0,0
AGM10-2,Survived,0,10,23500000,0
AGM10-4,Survived,6400,10,180000000,900
AGM100-3,Survived,0,100,0,0
AGM250-1,Survived,0,250,0,0
AGM250-4,Survived,3200,250,391000000,1730
AGM1-1,Survived,100,1,0,0
AGM1-2,Survived,100,1,0,0
AGM1-3,Survived,150,1,0,0
AGM1-4,Survived,150,1,0,0
AGM1-5,Survived,0,1,0,0
AGM1-6,Survived,50,1,0,0
AGM1-7,Survived,150,1,0,26
AGM10-5,Survived,0,10,0,0
AGM10-7,Survived,50,10,0,0
AGM10-8,Survived,0,10,0,0
AGM10-9,Survived,1600,10,499000000,475
AGM10-11,Survived,4800,10,1810000000,750
