,sample001,sample002,sample003,sample004,sample005,sample006,sample007,sample008,sample009,sample010,sample011,sample012,sample013,sample014,sample015,sample016,sample017,sample018,sample019,sample020,sample021,sample022,sample023,sample024,sample026,sample027,sample028,sample029,sample030,sample031,sample032,sample033,sample034,sample035,sample036,sample037,sample038,sample039,sample040,sample041,sample042,sample043,sample044,sample045,sample046,sample047,sample048,sample049,sample050,sample051,sample052,sample053,sample054,sample055,sample056,sample057,sample058,sample059,sample060,sample061,sample062,sample063,sample064,sample065,sample066,sample067,sample069,sample070,sample071,sample072,sample073,sample074,sample075,sample076,sample077,sample078,sample079,sample080,sample081,sample082,sample083,sample084,sample085,sample086,sample087,sample088,sample089,sample090,sample091,sample092,sample093,sample094,sample095,sample096,sample097,sample098,sample099,sample100,sample101,sample102,sample103,sample104,sample105,sample106,sample107,sample108,sample109,sample110,sample111,sample112,sample113,sample114,sample115,sample116,sample117,sample118,sample119,sample120,sample121,sample122,sample123,sample124,sample125,sample126,sample127,sample128,sample129,sample130,sample131,sample132
ABCB1,26.83,41.28,27,20,21.44,20,20,34.91,27.37,20,20,38.29,20,20,43.83,33.58,20,20,20,20,20,20,20,29.59,20,20,29.07,20,34.85,20,20,20,20,20,20,54.96,20,27.02,28.73,20,20,20.17,20,28.36,20,20,20,32.7,23.2,20,20,21.08,20,20,24.47,30.57,27.6,20,20,20,22,20,23.92,39.1,20,20,20,20,20,20,20,30.67,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35.78,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ABL1,44.32,42.66,27,42.56,20.42,27.71,20,41.12,23.6,24.51,40.26,20,20,20,56.56,43.66,27.97,26.4,20,20,20,20,20,49.31,37.53,37.76,31.49,31.24,32.17,20,28.94,20,27.17,20,20,44.39,31.59,33.78,34.72,20,20,22.69,20,30.54,20,27.6,20,23.62,25.31,20,20,34.78,20,20,28.55,29.39,33.88,20,29.23,20,30.47,20,20,46.55,20,20,20,20,24.58,20,20,20,20,22.39,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28.95,20,20,20,20,20,20,21.56,20,20,20,20,20,20,51.36,30.3,20,20,20,20,20,20,20,20,20,20,20,20,29.79,26.26,20,20,20,20,20,20
ADA,43.16,50.91,73.29,46.26,46.97,33.48,39.48,45,74.57,82.28,73.52,47.86,41.98,52.64,48.07,48.7,49.27,68.41,75.22,54.24,62.61,71.28,79.72,41.91,65.37,66.07,38.76,40.35,48.26,71.63,63.13,56.89,46.85,48.46,109.32,39.11,55.8,59.84,73.03,45.71,50.91,51.25,47.24,80.72,20,56.4,88.07,48.15,83.32,95.48,67.62,59.02,101.83,103.88,64.24,65.84,101.64,88.82,48.34,58.3,66.01,20,78.86,63.3,60.71,38.64,82.49,83.4,20,20,20,20,26.46,20,20,20,20,20,25.1,37.65,20,20,20,20,20,20,28.89,20,30.35,20,20,20,20,45.77,20,20,20,20,33.13,38.8,20,20,20,25.75,27.44,44.56,20,20,20,30.3,33.99,37.82,20,20,20.8,20,20,34.65,20,20,20,20,36.89,34.62,20,20,20,20,25.62,27.04
AGER,27.99,30.27,20,20,20,20,20,20,20,20,20,20,20,20,33.93,20,20,26.4,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23.25,25.27,20,20,20,20,20,20,20,20,20,20,20.89,20,20,20,20,20,20,22.43,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21.17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.7,20,22.87,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
AHR,71.15,49.54,55.29,42.56,28.59,20,22.86,51.98,50.97,56.89,54.27,20,20,27.53,69.28,73.88,38.62,40.81,20,20,50.22,61.65,64.33,59.17,29.05,20,20,20,77.75,70.1,53.93,43.16,28.11,20,20.42,58.13,75.8,69.49,32.32,28.99,20,50.41,41.79,25.09,20,20,20,48.15,46.41,20,35.5,20,20,24.53,49.96,36.45,20,20,28.1,20,35.54,42.37,20,20,20,20,36.13,32.65,31.95,22.78,23.06,20,20,39.4,45.19,20,34.5,20,20,20,29.72,48.09,34.68,35.14,30.47,28.5,20,20,26.21,48.66,34.79,30.06,20,32.04,60.81,20,20,25.36,45.37,30.18,26.6,33.24,30.6,20,27.44,33.14,27.17,27.75,20,20,36.6,36.73,33.19,30.81,20.8,20,20,46.64,20,20,30.76,20,29.79,63.27,29.42,33.87,20,20,41.15,43.85
AICDA,30.33,35.78,30.86,37.01,20,20,20,31.81,25.48,21.88,35.01,20,20,20,43.83,45.34,31.96,20,20,20,20,24.08,20.13,32.05,29.05,41.53,25.44,20,30.83,20,26.31,47.08,20.61,20,20,33.82,37.9,20,20,20,20,24.37,58.14,26.18,20,20,20,21.8,20,20,20,20,20,24.92,22.43,32.92,30.11,27.84,20,20,20,20,20,40.96,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,33.13,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,43.98,20,20,20,20,20,76.4,20,20,20,20,20,20
AIRE,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21.14,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
AKT3,205.29,242.17,241.74,157.29,151.13,163.93,190.75,240.52,209.54,169.8,197.81,214.43,187.31,186.14,240.37,273.7,255.68,150.03,128.95,84.58,162.36,159.42,245.87,207.11,157.37,143.47,180.48,268.11,237.28,195.07,157.83,127.51,103.07,209.43,196.62,176.52,223.2,146.7,164.02,83.62,60.85,207.53,127.18,137.44,110.58,142.79,145.82,235.28,196.17,125.46,157.21,130.69,122.57,237.28,173.34,142.27,115.44,136.55,177.61,218.32,204.8,149.13,154.18,176.87,140.19,242.48,193.28,236.07,948.72,1557.81,1405.69,989.22,686.81,753.98,1342.73,895.68,1295.62,1167.95,1604.57,702.18,994.55,1117.96,559.16,1068.33,1075.65,1300.32,915.69,875.37,513.18,929.46,1015.03,987.69,842.47,306.69,1468.01,1344.05,1472.74,1330.06,446.52,351.34,1069,1148.16,1183.53,1199.02,545.79,177.11,1089.01,1096.98,609.61,844.14,465.35,419.35,1151.12,1083.38,1366.81,962.13,1146.8,255.86,1003.64,1179.45,1101.09,950.45,778.86,422.57,1500.66,1231.35,1605.99,1166.89,691.77,387.3
ALOX12,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ALOX15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21.44,20,22.15,20,20,20,20,20,20,21.03,24.06,20,20,20,20,20,43.58,22.16,29.12,20,34.77,29.53,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.73,20,20,20,38.7,30.55,22.5,20,22.87,20,27.17,32.95,20,20,20,20,20,30.81,36.86,20,20,20,20,20,20,20,20,20,41.19,35.7,20,20,20,20
