"gene","avexpr","lfc","padj","pvalue","Comparison","Significant","Regulation","Species"
"OAS2",11.0829898007348,3.66250721999661,1.19263305249602e-24,1.54887409415067e-27,"Early",TRUE,"Up","AGM"
"MX1",10.6362638815635,4.24742839032524,3.44872683046148e-24,8.95773202717268e-27,"Early",TRUE,"Up","AGM"
"CXCL10",10.4523825265923,4.31601990800652,3.4911509387076e-24,1.36018867741855e-26,"Early",TRUE,"Up","AGM"
"MX2",11.3449783557751,3.13512983299701,3.29295308857802e-23,1.71062498107949e-25,"Early",TRUE,"Up","AGM"
"OASL",9.69323372472367,2.90476332808884,3.1224366910175e-22,2.02755629286851e-24,"Early",TRUE,"Up","AGM"
"IFIT1",12.8192739358652,4.04412764601147,1.24563802390061e-21,9.70627031610863e-24,"Early",TRUE,"Up","AGM"
"DDX58",9.64629391916023,3.26389881836822,5.0404611163376e-21,4.58223737848873e-23,"Early",TRUE,"Up","AGM"
"IFI44",11.4150173117315,4.56332384832697,8.71575769588342e-21,9.05533267104771e-23,"Early",TRUE,"Up","AGM"
"OAS3",9.89626457519722,3.30618939475788,1.16446670493166e-20,1.36106497979025e-22,"Early",TRUE,"Up","AGM"
"IFIT3",12.1336429910673,4.11314434769562,1.95668689623416e-19,2.54115181329112e-21,"Early",TRUE,"Up","AGM"
"EIF2AK2",9.88434594788195,2.46114173567335,1.82291147975373e-18,2.60415925679104e-20,"Early",TRUE,"Up","AGM"
"IFIT2",11.1348303802837,4.09651935838001,4.22308163895286e-18,6.58142593083562e-20,"Early",TRUE,"Up","AGM"
"STAT2",10.4634967318773,2.65285174511263,7.49572572577997e-18,1.26551213552129e-19,"Early",TRUE,"Up","AGM"
"IFIH1",10.4728313420662,2.7914451175304,1.57506310422097e-17,2.86375109858359e-19,"Early",TRUE,"Up","AGM"
"TNFSF13B",10.597024089152,2.41688580102799,1.38341509363627e-16,2.6949644681226e-18,"Early",TRUE,"Up","AGM"
"STAT1",11.1173070314859,1.76998528903202,1.49469326250731e-16,3.10585612988531e-18,"Early",TRUE,"Up","AGM"
"GBP1",12.2833392561726,3.18957986527496,1.59417997396794e-15,3.5196181243448e-17,"Early",TRUE,"Up","AGM"
"IFI16",12.0705022027284,1.55917034760726,2.50775623183292e-15,5.86228729519384e-17,"Early",TRUE,"Up","AGM"
"ISG20",9.37771913279796,1.54722514003945,1.11946455211245e-11,2.76231512858916e-13,"Early",TRUE,"Up","AGM"
"OAS1",10.7279473649124,2.68816251381621,2.08853678846568e-11,5.42477087913163e-13,"Early",TRUE,"Up","AGM"
"PSMB8",11.1568151861301,0.930930618841327,2.07505720316555e-10,5.65924691772423e-12,"Early",FALSE,"None","AGM"
"FAS",10.0848429234527,1.3085598901925,4.04337098216959e-09,1.15524885204845e-10,"Early",TRUE,"Up","AGM"
"IFITM1",14.2406808950102,1.22249596750381,5.17153602657041e-09,1.54474452741713e-10,"Early",TRUE,"Up","AGM"
"CASP1",10.8379688494492,1.37319812308927,9.6006967780393e-09,3.11710934351925e-10,"Early",TRUE,"Up","AGM"
"PML",7.51241178125991,0.863457713550678,8.06305782325418e-09,2.51316087997533e-10,"Early",FALSE,"None","AGM"
"IL1RN",8.25984846388383,1.44569614306861,1.05775148000674e-08,3.57162837404875e-10,"Early",TRUE,"Up","AGM"
"IRF7",9.21571596103007,1.77043374499118,3.47771410284537e-08,1.21945819190682e-09,"Early",TRUE,"Up","AGM"
"IDO1",11.9520393104315,1.53470042089807,4.30590946239402e-08,1.56578525905237e-09,"Early",TRUE,"Up","AGM"
"CD274",10.6868418403545,1.71036043830942,6.93480056894674e-08,2.61180800648644e-09,"Early",TRUE,"Up","AGM"
"CD38",9.18861224708026,1.07054401093686,2.41474656350871e-07,9.40810349418977e-09,"Early",TRUE,"Up","AGM"
"BST2",8.68524433864918,1.10250626378258,3.68997858952957e-07,1.48557579578463e-08,"Early",TRUE,"Up","AGM"
"TAP1",11.5747165967385,1.09837721082343,8.3788402505499e-07,3.48211542879996e-08,"Early",TRUE,"Up","AGM"
"CD164",10.7746582112749,0.709195160890147,6.77782868442732e-06,2.90478372189742e-07,"Early",FALSE,"None","AGM"
"RARRES3",9.97892472696967,0.639974706047267,9.93547104224589e-06,4.38709110956312e-07,"Early",FALSE,"None","AGM"
"PSMB9",10.7415547172479,0.755793482354907,1.30651671329006e-05,5.93871233313662e-07,"Early",FALSE,"None","AGM"
"CYBB",10.5505964587538,0.942893207019505,2.34510521747598e-05,1.09641282894981e-06,"Early",FALSE,"None","AGM"
"IL8",9.03455309801293,-1.84577038842927,3.27596031779755e-05,1.57416275011051e-06,"Early",TRUE,"Down","AGM"
"SOCS1",8.34654868295754,0.968177059874023,4.20586269056514e-05,2.07562054859059e-06,"Early",FALSE,"None","AGM"
"FCGR1A",9.69259242433925,1.13472626841206,0.000137611543078868,7.0733014457357e-06,"Early",TRUE,"Up","AGM"
"IRF1",11.4238247551239,0.823250031955018,0.000137611543078868,7.14865158851261e-06,"Early",FALSE,"None","AGM"
"MYD88",8.5173673897509,0.690184419861153,0.000224418834426079,1.19495743006094e-05,"Early",FALSE,"None","AGM"
"TLR4",10.1343282741157,1.17165101048189,0.000236755168158749,1.29139182632045e-05,"Early",TRUE,"Up","AGM"
"RIPK2",7.83735652890959,0.612616028561132,0.000376418500318688,2.10207733944203e-05,"Early",FALSE,"None","AGM"
"CCR1",7.78006546194651,0.700045469667103,0.000387434281016211,2.21391017723549e-05,"Early",FALSE,"None","AGM"
"JAK2",10.7917877144847,0.813698861796649,0.00119417284141812,7.13401957210826e-05,"Early",FALSE,"None","AGM"
"CD86",7.60531443783913,0.514203530774375,0.00236696866853823,0.000144477308339346,"Early",FALSE,"None","AGM"
"IL1RL1",6.90986360631742,-0.315958373814031,0.00119417284141812,7.00927103386286e-05,"Early",FALSE,"None","AGM"
"SELL",13.4822300982972,0.682854253231248,0.00546082249727698,0.000383038136677998,"Early",FALSE,"None","AGM"
"FKBP5",9.73728928001446,0.521256128588368,0.00546082249727698,0.000390058749805498,"Early",FALSE,"None","AGM"
"STAT3",9.81547598097738,0.487013486969264,0.00546082249727698,0.000384241963594018,"Early",FALSE,"None","AGM"
"MR1",7.32111220030118,0.467792809362894,0.00414121309269003,0.000258153543440417,"Early",FALSE,"None","AGM"
"TAP2",7.41227754571541,0.357172425904721,0.00446369172879673,0.000284053110014338,"Early",FALSE,"None","AGM"
"RNASEL",7.29028278052209,0.526568464566497,0.00546082249727698,0.000378406611310286,"Early",FALSE,"None","AGM"
"IRF5",7.11998898899621,0.298835319694815,0.00453429926459967,0.000294435017181797,"Early",FALSE,"None","AGM"
"CCRL2",9.02792863628318,0.959003006055536,0.00919791493907622,0.000680884612373175,"Early",FALSE,"None","AGM"
"MAP4K2",6.90804817503158,-0.310209650343616,0.00544602380734119,0.000360710667758962,"Early",FALSE,"None","AGM"
"IL10RA",9.80209285834711,0.351415254439946,0.0113752126876835,0.000871607205939386,"Early",FALSE,"None","AGM"
"IL16",8.32014175458915,-0.434650024445547,0.0118541163874694,0.000939092337189135,"Early",FALSE,"None","AGM"
"RPS6KA5",8.40374796993382,0.399709257725929,0.0118541163874694,0.000938106426902712,"Early",FALSE,"None","AGM"
"PSMB10",8.36259608316972,0.4273580260065,0.0128993912136087,0.00105540473565889,"Early",FALSE,"None","AGM"
"IFI35",7.07366710096854,0.262975057629721,0.00726809076353306,0.000528588419166041,"Early",FALSE,"None","AGM"
"TBK1",8.30608486447645,0.695018897459761,0.0159189261675032,0.00136447938578599,"Early",FALSE,"None","AGM"
"GNAQ",8.71331454576599,-0.39917266194532,0.0159189261675032,0.00132931788093004,"Early",FALSE,"None","AGM"
"MMP9",9.03585119308365,-0.766294649284024,0.0186766211751107,0.00167361930010732,"Early",FALSE,"None","AGM"
"CR1",6.7863202478441,-0.337616936566603,0.0101130646166419,0.000761763308786015,"Early",FALSE,"None","AGM"
"TAPBP",9.23596490449587,0.342666667577696,0.0204052903357153,0.00185502639415593,"Early",FALSE,"None","AGM"
"CTSC",7.9368208288484,0.352302351320271,0.0159189261675032,0.00135949183689546,"Early",FALSE,"None","AGM"
"CSF1",7.50178195552668,0.359497827052992,0.0170653018065825,0.00150706561408781,"Early",FALSE,"None","AGM"
"IRAK2",6.88544155066497,-0.295666258335291,0.0128993912136087,0.00105167723301524,"Early",FALSE,"None","AGM"
"CXCL11",7.46350299717489,0.456507145414379,0.0169214266790689,0.00147238387986703,"Early",FALSE,"None","AGM"
"PYCARD",9.4410982581142,0.498940738816698,0.0323401873869602,0.00303783247401323,"Early",FALSE,"None","AGM"
"LY96",8.49646972357031,0.766513335075577,0.0323401873869602,0.00310230377176008,"Early",FALSE,"None","AGM"
"TGFBR1",8.78685055294494,-0.418409560529422,0.0323401873869602,0.00310801800861696,"Early",FALSE,"None","AGM"
"PTGS2",7.62648235519209,-0.741682128655625,0.0353151178481748,0.00343978420599105,"Early",FALSE,"None","AGM"
"B2M",16.2403540164428,0.36519180141611,0.0395988971095888,0.00401131685006224,"Early",FALSE,"None","AGM"
"CD7",8.82714634732696,-0.563345109566139,0.036531831539952,0.0036531831539952,"Early",FALSE,"None","AGM"
"IL1R2",8.57426601391807,-1.06368607714276,0.0362392614589759,0.00357686216997684,"Early",TRUE,"Down","AGM"
"TNFSF14",6.85809456197141,-0.357060988488264,0.0306553710268848,0.00282666408169977,"Early",FALSE,"None","AGM"
"FOS",10.4765706277609,-0.911462154966394,0.0475050984026955,0.00487389970625058,"Early",FALSE,"None","AGM"
"CLEC7A",9.17096353981185,0.740979132907853,0.0509683656992036,0.00529541461809908,"Early",FALSE,"None","AGM"
"TAGAP",10.2980282701893,0.474767107857135,0.0558985162536061,0.00588023352797674,"Early",FALSE,"None","AGM"
"MKNK1",7.60047428517359,0.461229697419108,0.0564241722100012,0.00600880794963649,"Early",FALSE,"None","AGM"
"CTSS",11.8599089108975,0.432364421343028,0.0656790003413604,0.0070796844523804,"Early",FALSE,"None","AGM"
"CD1C",7.20789557957546,-0.587801882438632,0.0817161419020979,0.0090206130671147,"Early",FALSE,"None","AGM"
"HLA-DRA",12.9777722543176,0.396596447541413,0.0849308872303763,0.00959608725849707,"Early",FALSE,"None","AGM"
"CSF1R",7.44173756285644,0.622840032833903,0.0854102090669835,0.0097611667505124,"Early",FALSE,"None","AGM"
