"gene","Early.lfc","Early.padj","Late.lfc","Late.padj","Middle.lfc","Middle.padj"
"ABCB1",-0.389840575932579,0.151760265085353,-0.44904626296433,0.105422192548569,-0.525989394729529,0.0619613141842585
"ABCF1",-0.0103580619090664,0.949135332207862,0.205162643404215,0.19338484012302,0.454324804313309,0.00998865785172703
"ABL1",-0.355921581046909,0.150376591825245,-0.454380876998654,0.0547549257006871,-0.328378283967273,0.324435817881933
"ADA",0.50480443267635,0.0399369269283239,0.266805333388525,0.324123902743856,0.246162995334595,0.41182223079558
"AGER",-0.0993559904209249,0.0776650690793959,-0.0568437861157314,0.335242556861147,-0.133483600316112,0.0386932251268037
"AHR",-0.466584126550959,0.0932610088007443,-1.27542529002139,5.02984588599957e-07,-0.914449375857551,0.00518057984819224
"AICDA",-0.0703497592003135,0.717529291149178,-0.354530000597749,0.0362466609313948,0.0403699533194004,0.881963706692144
"AIRE",-0.0841692090249992,0.0195046970696043,0.0212562406896888,0.569797418419513,-0.0553835735106976,0.215837243906167
"AKT3",-0.371662424458883,0.0787203544767264,-0.326943131146594,0.147260438978382,-0.530560527481644,0.0411813538613625
"ALAS1",0.216417125757468,0.209700577747833,0.0681075070084027,0.735447592344751,0.138388732591999,0.544676412779019
"ALOX12",-0.070837377374346,0.0399369269283239,0.034588072340342,0.335242556861147,-0.0420517418600443,0.328974653039415
"ALOX15",-0.070837377374346,0.0399369269283239,0.034588072340342,0.335242556861147,-0.0420517418600443,0.328974653039415
"ALOX5",0.0519130710217572,0.88989155507052,0.848605269015265,0.0124926178001791,-0.581776517340134,0.0876170884863818
"ANP32B",-0.446870163194461,0.0179225921380124,0.481464475534185,0.00726649636816494,-0.188117918453186,0.406527975410602
"APOE",0.011240840479374,0.853138293625697,0.0360001842525266,0.546519569120886,-0.0420517418600443,0.557975942924693
"APP",0.370417824435172,0.0259765438911473,0.703711452435167,1.4270058251208e-05,0.577094736694349,0.00254447817206252
"AREG",-0.0639626111808278,0.369986210090592,0.028377681833633,0.73221267800444,-0.104457918352895,0.241862063514348
"ARG1",-0.0886555414759851,0.259121219242276,-0.110092118929542,0.14168491828665,-0.186731933129925,0.0206738395211291
"ARG2",0.87949814844182,0.0293373933966701,0.898647534139364,0.0209648606993431,1.03772757169952,0.027955269743256
"ARHGDIB",-0.543147335455767,0.000661141242821603,-0.00138070825652115,0.996263033183914,-0.645894947571641,0.000395346537256445
"ATF2",-0.199715913059471,0.125849655126403,-0.122209874442435,0.375551291285544,-0.169094935309866,0.328974653039415
"ATG10",-0.149875788641836,0.269599979980706,-0.171497528799066,0.254392614183261,-0.118812117554284,0.487010330728839
"ATG12",0.173539087998375,0.148415284193204,0.222893785024921,0.0763746086653455,0.207682937275818,0.18118792086038
"ATG16L1",-0.262739133748456,0.180698985716538,-0.405176246064116,0.0268537181407039,-0.140257792286223,0.600479712263714
"ATG5",0.139696387012787,0.454319322533372,-0.0825612007169934,0.701642043165209,-0.208237807676634,0.378742242689644
"ATG7",-0.111096518896225,0.488261378972007,-0.449972625841659,0.00162450323739039,-0.508463672202256,0.000800613998641755
"ATM",-0.694900420724075,0.00721897658557747,-0.538192529979968,0.0304137573044476,-1.01169698598852,0.000800613998641755
"B2M",0.78252624677816,5.00089526247694e-05,0.565541980099786,0.00162450323739039,0.829455484090433,0.000210674934894818
"B3GAT1",-0.070837377374346,0.0399369269283239,0.034588072340342,0.335242556861147,-0.0420517418600443,0.328974653039415
"BAD",-0.076172562585854,0.0347316074598998,0.029252887128834,0.421188072295722,-0.0473869270715523,0.309179491309182
"BATF",0.340700810347396,0.096794200191388,0.819072287265413,7.12971612875169e-05,0.33356280182181,0.223507204012707
"BATF3",0.948747023359322,2.22575559144389e-05,0.0957904161568912,0.689407783836559,0.803263924933388,0.00165302593287349
"BAX",-0.0654113841492059,0.583714771718291,0.455566520419904,0.000192473142320759,0.378026902206047,0.0116679808632047
"BCAP31",0.0200450150103517,0.897909267886306,0.378523883010818,0.00761476750106273,0.470324013066454,0.00641461406600696
"BCL10",0.207940585571722,0.286633448768732,-0.228852024633349,0.299720397911415,-0.15073485812148,0.557975942924693
"BCL2",-0.430701003175665,0.111725630200521,-0.0767458919332835,0.804157899706408,0.0531573874336271,0.883003874278481
"BCL2L1",-0.0365551731305516,0.939015439906599,0.156690075722953,0.758265459174574,-0.518310589905033,0.354840886951356
"BCL2L11",-0.202062645935371,0.222774487728362,0.0960484529068459,0.596869901163638,-0.087884370750599,0.695010908553141
"BCL3",0.221422980010031,0.276909862345416,0.0410977794556331,0.848380574279237,-0.305643096652715,0.132833685970221
